district,target,rmse,mae,r2,n_train,n_test
Reinickendorf,code_10_chest_pain,0.8040210958449437,0.6535122812014338,-0.3082762406782895,292,73
Reinickendorf,code_17_falls,3.4484120551589688,1.906725354628728,-0.0479181252396812,292,73
Reinickendorf,code_19_heart_problems,0.7475077417261429,0.5957478888938474,-0.16024947878534257,292,73
Reinickendorf,code_28_stroke_tia,0.8822435244863159,0.7164297856257006,-0.9230610846643317,292,73
Spandau,code_06_breathing,1.8996385354095802,1.475221928003684,-0.08726395280155796,292,73
Spandau,code_09_cardiac_arrest,0.2633218566926684,0.21057821486656791,-0.030607490993682873,292,73
Spandau,code_10_chest_pain,1.1262064904769262,0.8917441726698808,-0.30951914007894854,292,73
Spandau,code_17_falls,2.6342434838535325,1.8321632570024948,-0.13805889642127633,292,73
Spandau,code_19_heart_problems,1.0431711215909165,0.8648249816504422,-0.935913857699318,292,73
Spandau,code_28_stroke_tia,0.9837964005126731,0.7994032167200606,-0.4030431629062594,292,73
Steglitz-Zehlendorf,code_06_breathing,1.4887273844190716,1.1368856397838223,-1.0344827045552023,292,73
Steglitz-Zehlendorf,code_09_cardiac_arrest,0.43588173445923817,0.34766256771000953,-0.10669966313117363,292,73
Steglitz-Zehlendorf,code_10_chest_pain,0.9516997737360116,0.7793123844658776,-0.09906577277772777,292,73
Steglitz-Zehlendorf,code_17_falls,3.0783058827313017,2.0570579632538935,0.07760995914407343,292,73
Steglitz-Zehlendorf,code_19_heart_problems,1.307673305921443,1.0382548387978907,-1.6209726475462602,292,73
Steglitz-Zehlendorf,code_28_stroke_tia,0.8149023260867153,0.6322200062462159,-0.4207649944201477,292,73
Tempelhof-Schöneberg,code_06_breathing,1.9652120064854657,1.608397327021756,-0.42829050509489375,292,73
Tempelhof-Schöneberg,code_09_cardiac_arrest,0.4721803317539185,0.4187241114355875,-0.6723555329371167,292,73
Tempelhof-Schöneberg,code_10_chest_pain,1.133562639395343,0.9234527991620726,-0.3997027810623648,292,73
Tempelhof-Schöneberg,code_17_falls,3.0941834883210695,2.2623436976684874,-0.16441217854771484,292,73
Tempelhof-Schöneberg,code_19_heart_problems,0.9358989474447951,0.7540137494897337,-0.3515196473603919,292,73
Tempelhof-Schöneberg,code_28_stroke_tia,1.2307634720310856,0.9726736578567909,-0.6298314511309329,292,73
Treptow-Köpenick,code_06_breathing,1.7635722959080815,1.4845856596385403,-0.8722542223643077,292,73
Treptow-Köpenick,code_09_cardiac_arrest,0.5378496679478864,0.43733041602054545,-1.164403277949678,292,73
Treptow-Köpenick,code_10_chest_pain,1.153399355671787,0.8546667370598708,-0.2656379583967594,292,73
Treptow-Köpenick,code_17_falls,3.916296362512622,2.708113510862745,-0.6229064940341393,292,73
Treptow-Köpenick,code_19_heart_problems,1.2350050901077465,1.025474900998062,-0.9283023152551895,292,73
Treptow-Köpenick,code_28_stroke_tia,0.9390901925817384,0.7574830425604678,-0.21996238861942752,292,73
