date,district,population,pop_density,pm25,pm10,no2,o3,so2,aq_score,density_factor,ems_factor,risk_score,risk_level
2025-11-24,Lichtenberg,298187,5702.6,13.328994750976562,16.0063533782959,18.43536949157715,32.98051452636719,2.6064212322235107,0.6179,0.3909,0.9368,0.6182,High
2025-11-24,Marzahn-Hellersdorf,265225,4295.8,13.022189140319824,15.314902305603027,13.642584800720217,36.44238662719727,2.5209290981292725,0.5674,0.2945,0.9263,0.5616,High
2025-11-24,Mitte,386181,9784.2,13.646933555603027,16.667375564575195,24.293672561645508,27.63019561767578,3.063175201416016,0.676,0.6707,0.8974,0.7295,High
2025-11-24,Neukölln,328826,7318.6,12.7781400680542,15.608863830566406,17.73233985900879,33.30031204223633,2.326310157775879,0.597,0.5017,0.8357,0.6233,High
2025-11-24,Pankow,415257,4031.2,13.582942008972168,16.54316520690918,23.04058265686035,29.14882469177246,2.794363260269165,0.6643,0.2763,0.6789,0.5322,Medium
2025-11-24,Reinickendorf,268568,3001.1,13.646933555603027,16.667375564575195,24.293672561645508,27.63019561767578,3.063175201416016,0.676,0.2057,0.9769,0.5866,High
2025-11-24,Spandau,243977,2654.5,13.049445152282717,15.90981388092041,22.09359169006348,29.19862174987793,2.541166305541992,0.64,0.182,1.0,0.5697,High
2025-11-24,Steglitz-Zehlendorf,308080,3006.0,11.953590393066406,14.559679985046388,15.929207801818848,32.354461669921875,1.9639390707015991,0.5539,0.2061,0.8855,0.5151,Medium
2025-11-24,Tempelhof-Schöneberg,359199,6765.9,12.44765567779541,15.2860689163208,17.54047966003418,32.31708908081055,2.2609903812408447,0.5843,0.4638,0.7833,0.5919,High
2025-11-24,Treptow-Köpenick,275469,1635.6,12.694788932800291,15.481324195861816,16.78476333618164,34.57988739013672,2.353704929351806,0.5878,0.1121,0.8955,0.4982,Medium
2025-11-25,Charlottenburg-Wilmersdorf,344207,5316.8,22.3201904296875,25.55120658874512,23.10411071777344,14.653629302978516,4.589960098266602,0.7013,0.3645,0.9069,0.6348,High
2025-11-25,Friedrichshain-Kreuzberg,294099,14588.2,21.91544532775879,24.9925479888916,19.7141227722168,16.666412353515625,4.116469860076904,0.6689,1.0,0.6755,0.7864,High
2025-11-25,Lichtenberg,298187,5702.6,21.78949546813965,24.631690979003903,15.775294303894045,19.531646728515625,3.8203725814819336,0.6337,0.3909,0.9367,0.6245,High
2025-11-25,Marzahn-Hellersdorf,265225,4295.8,21.272640228271484,23.88838195800781,13.257880210876465,21.904260635375977,3.649040460586548,0.6106,0.2945,0.9116,0.5752,High
2025-11-25,Mitte,386181,9784.2,22.3201904296875,25.55120658874512,23.10411071777344,14.653629302978516,4.589960098266602,0.7013,0.6707,0.8792,0.7351,High
2025-11-25,Neukölln,328826,7318.6,21.843751907348636,25.00858497619629,21.46563148498535,16.98161506652832,3.725832223892212,0.6866,0.5017,0.8578,0.6647,High
2025-11-25,Pankow,415257,4031.2,21.91544532775879,24.9925479888916,19.7141227722168,16.666412353515625,4.116469860076904,0.6689,0.2763,0.6883,0.5363,Medium
2025-11-25,Reinickendorf,268568,3001.1,22.3201904296875,25.55120658874512,23.10411071777344,14.653629302978516,4.589960098266602,0.7013,0.2057,0.9566,0.5917,High
2025-11-25,Spandau,243977,2654.5,22.15031623840332,25.269081115722656,24.34870719909668,13.296883583068848,4.309799671173096,0.7097,0.182,0.9761,0.5916,High
2025-11-25,Steglitz-Zehlendorf,308080,3006.0,21.544343948364254,24.52695655822754,24.59018898010254,13.22708797454834,3.793816804885864,0.7089,0.2061,0.8613,0.571,High
2025-11-25,Tempelhof-Schöneberg,359199,6765.9,22.03644752502441,25.16786766052246,24.55206298828125,14.444512367248535,3.973067283630371,0.7133,0.4638,0.801,0.6479,High
2025-11-25,Treptow-Köpenick,275469,1635.6,21.440948486328125,24.370317459106445,17.502063751220703,19.400903701782227,3.474946975708008,0.6494,0.1121,0.901,0.5242,Medium
2025-11-26,Charlottenburg-Wilmersdorf,344207,5316.8,16.07501983642578,18.31405639648437,12.898396492004396,34.64904022216797,2.289199113845825,0.6122,0.3645,0.8757,0.5914,High
2025-11-26,Friedrichshain-Kreuzberg,294099,14588.2,15.698918342590332,17.92034912109375,12.575721740722656,34.51355743408203,2.340588092803955,0.6074,1.0,0.68,0.763,High
2025-11-26,Lichtenberg,298187,5702.6,15.445083618164062,17.556127548217773,10.627524375915527,35.89058303833008,2.45417857170105,0.5896,0.3909,0.9348,0.6064,High
2025-11-26,Marzahn-Hellersdorf,265225,4295.8,14.682854652404783,16.992141723632812,8.312456130981445,37.44344711303711,2.5069000720977783,0.5604,0.2945,0.9381,0.5618,High
2025-11-26,Mitte,386181,9784.2,16.07501983642578,18.31405639648437,12.898396492004396,34.64904022216797,2.289199113845825,0.6122,0.6707,0.9375,0.714,High
