date,district,code_02_allergy_insect,code_06_breathing,code_09_cardiac_arrest,code_10_chest_pain,code_12_seizure,code_13_blood_sugar,code_17_falls,code_18_headache,code_19_heart_problems,code_20_heat_cold_exposure,code_28_stroke_tia,code_31_loss_of_consciousness,day_of_week,is_weekend,month,day_of_year,year,week_of_year,is_public_holiday,covid_flag,doy_sin,doy_cos
2022-12-17,Lichtenberg,0.2857142857142857,13.857142857142858,1.2857142857142858,3.7142857142857144,2.7142857142857144,0.8571428571428571,17.142857142857142,1.0,5.857142857142857,0.2857142857142857,3.5714285714285716,12.285714285714286,5,True,12,351,2022,50,0,0,-0.2426868445825954,0.9701046827361176
2022-12-17,Marzahn-Hellersdorf,0.5714285714285714,13.428571428571429,1.7142857142857142,6.142857142857143,1.7142857142857142,1.0,13.714285714285714,1.4285714285714286,6.857142857142857,0.2857142857142857,3.2857142857142856,8.0,5,True,12,351,2022,50,0,0,-0.2426868445825954,0.9701046827361176
2022-12-17,Mitte,1.0,24.142857142857142,2.142857142857143,8.285714285714286,3.5714285714285716,1.1428571428571428,23.428571428571427,1.8571428571428572,10.285714285714286,0.8571428571428571,3.857142857142857,18.428571428571427,5,True,12,351,2022,50,0,0,-0.2426868445825954,0.9701046827361176
2022-12-17,Neukölln,0.7142857142857143,17.428571428571427,1.8571428571428572,6.714285714285714,3.142857142857143,0.2857142857142857,16.285714285714285,0.8571428571428571,6.142857142857143,0.5714285714285714,4.285714285714286,11.0,5,True,12,351,2022,50,0,0,-0.2426868445825954,0.9701046827361176
2022-12-17,Pankow,0.5714285714285714,18.142857142857142,1.5714285714285714,6.571428571428571,3.4285714285714284,0.8571428571428571,19.714285714285715,0.42857142857142855,6.428571428571429,0.14285714285714285,3.4285714285714284,11.714285714285714,5,True,12,351,2022,50,0,0,-0.2426868445825954,0.9701046827361176
2022-12-17,Reinickendorf,0.42857142857142855,18.714285714285715,1.7142857142857142,4.714285714285714,2.5714285714285716,0.8571428571428571,14.857142857142858,0.8571428571428571,5.142857142857143,0.14285714285714285,6.285714285714286,12.714285714285714,5,True,12,351,2022,50,0,0,-0.2426868445825954,0.9701046827361176
2022-12-17,Spandau,0.5714285714285714,16.0,1.5714285714285714,4.857142857142857,3.4285714285714284,0.7142857142857143,15.428571428571429,0.5714285714285714,4.714285714285714,0.2857142857142857,3.5714285714285716,9.142857142857142,5,True,12,351,2022,50,0,0,-0.2426868445825954,0.9701046827361176
2022-12-17,Steglitz-Zehlendorf,0.2857142857142857,14.428571428571429,0.8571428571428571,4.428571428571429,2.142857142857143,0.8571428571428571,18.857142857142858,0.14285714285714285,5.285714285714286,0.7142857142857143,3.142857142857143,11.571428571428571,5,True,12,351,2022,50,0,0,-0.2426868445825954,0.9701046827361176
2022-12-17,Tempelhof-Schöneberg,0.8571428571428571,17.571428571428573,1.1428571428571428,4.714285714285714,3.0,0.14285714285714285,19.857142857142858,0.7142857142857143,5.142857142857143,0.42857142857142855,3.7142857142857144,15.285714285714286,5,True,12,351,2022,50,0,0,-0.2426868445825954,0.9701046827361176
2022-12-17,Treptow-Köpenick,0.2857142857142857,16.714285714285715,1.2857142857142858,5.571428571428571,4.571428571428571,0.7142857142857143,18.428571428571427,1.0,4.571428571428571,0.0,4.428571428571429,10.714285714285714,5,True,12,351,2022,50,0,0,-0.2426868445825954,0.9701046827361176
