date,district,code_02_allergy_insect,code_06_breathing,code_09_cardiac_arrest,code_10_chest_pain,code_12_seizure,code_13_blood_sugar,code_17_falls,code_18_headache,code_19_heart_problems,code_20_heat_cold_exposure,code_28_stroke_tia,code_31_loss_of_consciousness,day_of_week,is_weekend,month,day_of_year,year,week_of_year,is_public_holiday,covid_flag,doy_sin,doy_cos
2020-09-10,Lichtenberg,2.0,0.0,2.0,3.0,2.0,0.0,5.0,0.0,4.0,0.0,5.0,10.0,3,False,9,254,2020,37,0,1,-0.9417589340994617,-0.33628873017668287
2020-09-10,Marzahn-Hellersdorf,1.0,2.0,0.0,1.0,2.0,0.0,11.0,0.0,4.0,0.0,4.0,9.0,3,False,9,254,2020,37,0,1,-0.9417589340994617,-0.33628873017668287
2020-09-10,Mitte,1.0,8.0,2.0,7.0,2.0,1.0,12.0,0.0,7.0,0.0,2.0,14.0,3,False,9,254,2020,37,0,1,-0.9417589340994617,-0.33628873017668287
2020-09-10,Neukölln,2.0,8.0,1.0,3.0,4.0,1.0,9.0,0.0,7.0,0.0,4.0,8.0,3,False,9,254,2020,37,0,1,-0.9417589340994617,-0.33628873017668287
2020-09-10,Pankow,1.0,3.0,1.0,3.0,3.0,0.0,13.0,0.0,3.0,0.0,3.0,8.0,3,False,9,254,2020,37,0,1,-0.9417589340994617,-0.33628873017668287
2020-09-10,Reinickendorf,0.0,8.0,1.0,4.0,1.0,0.0,8.0,1.0,6.0,0.0,3.0,10.0,3,False,9,254,2020,37,0,1,-0.9417589340994617,-0.33628873017668287
2020-09-10,Spandau,1.0,5.0,1.0,2.0,1.0,1.0,10.0,1.0,2.0,0.0,1.0,8.0,3,False,9,254,2020,37,0,1,-0.9417589340994617,-0.33628873017668287
2020-09-10,Steglitz-Zehlendorf,0.0,5.0,0.0,1.0,1.0,1.0,16.0,0.0,7.0,0.0,2.0,8.0,3,False,9,254,2020,37,0,1,-0.9417589340994617,-0.33628873017668287
2020-09-10,Tempelhof-Schöneberg,1.0,2.0,1.0,1.0,1.0,5.0,20.0,1.0,4.0,0.0,0.0,5.0,3,False,9,254,2020,37,0,1,-0.9417589340994617,-0.33628873017668287
2020-09-10,Treptow-Köpenick,0.0,4.0,2.0,3.0,0.0,3.0,10.0,0.0,4.0,0.0,4.0,8.0,3,False,9,254,2020,37,0,1,-0.9417589340994617,-0.33628873017668287
2020-09-11,Charlottenburg-Wilmersdorf,2.0,2.0,1.0,2.0,2.0,2.0,20.0,0.0,1.0,0.0,3.0,8.0,4,False,9,255,2020,37,0,1,-0.9474042892438845,-0.32003923622313857
2020-09-11,Friedrichshain-Kreuzberg,4.0,4.0,0.0,5.0,5.0,1.0,9.0,0.0,3.0,0.0,0.0,6.0,4,False,9,255,2020,37,0,1,-0.9474042892438845,-0.32003923622313857
2020-09-11,Lichtenberg,1.0,3.0,0.0,6.0,1.0,1.0,12.0,2.0,2.0,0.0,0.0,11.0,4,False,9,255,2020,37,0,1,-0.9474042892438845,-0.32003923622313857
2020-09-11,Marzahn-Hellersdorf,3.0,3.0,1.0,2.0,4.0,2.0,15.0,1.0,4.0,0.0,3.0,7.0,4,False,9,255,2020,37,0,1,-0.9474042892438845,-0.32003923622313857
2020-09-11,Mitte,5.0,2.0,0.0,6.0,3.0,0.0,18.0,1.0,8.0,0.0,4.0,9.0,4,False,9,255,2020,37,0,1,-0.9474042892438845,-0.32003923622313857
2020-09-11,Neukölln,6.0,2.0,1.0,4.0,2.0,0.0,14.0,1.0,9.0,0.0,2.0,6.0,4,False,9,255,2020,37,0,1,-0.9474042892438845,-0.32003923622313857
2020-09-11,Pankow,1.0,9.0,0.0,3.0,1.0,0.0,17.0,0.0,5.0,0.0,2.0,11.0,4,False,9,255,2020,37,0,1,-0.9474042892438845,-0.32003923622313857
2020-09-11,Reinickendorf,0.0,2.0,3.0,3.0,0.0,0.0,17.0,1.0,2.0,0.0,3.0,3.0,4,False,9,255,2020,37,0,1,-0.9474042892438845,-0.32003923622313857
2020-09-11,Spandau,3.0,6.0,0.0,3.0,4.0,0.0,10.0,1.0,7.0,0.0,1.0,7.0,4,False,9,255,2020,37,0,1,-0.9474042892438845,-0.32003923622313857
2020-09-11,Steglitz-Zehlendorf,1.0,2.0,3.0,1.0,3.0,1.0,10.0,1.0,4.0,0.0,1.0,3.0,4,False,9,255,2020,37,0,1,-0.9474042892438845,-0.32003923622313857
2020-09-11,Tempelhof-Schöneberg,2.0,4.0,0.0,3.0,1.0,0.0,14.0,3.0,7.0,0.0,5.0,8.0,4,False,9,255,2020,37,0,1,-0.9474042892438845,-0.32003923622313857
2020-09-11,Treptow-Köpenick,2.0,9.0,2.0,2.0,1.0,2.0,10.0,1.0,6.0,0.0,1.0,7.0,4,False,9,255,2020,37,0,1,-0.9474042892438845,-0.32003923622313857
2020-09-12,Charlottenburg-Wilmersdorf,3.0,5.0,0.0,6.0,1.0,1.0,15.0,0.0,6.0,0.0,1.0,8.0,5,True,9,256,2020,37,0,1,-0.9527692922168511,-0.30369503751065885
2020-09-12,Friedrichshain-Kreuzberg,1.0,3.0,0.0,4.0,0.0,1.0,11.0,0.0,2.0,0.0,2.0,10.0,5,True,9,256,2020,37,0,1,-0.9527692922168511,-0.30369503751065885
2020-09-12,Lichtenberg,1.0,6.0,0.0,7.0,3.0,1.0,9.0,1.0,1.0,0.0,0.0,2.0,5,True,9,256,2020,37,0,1,-0.9527692922168511,-0.30369503751065885
2020-09-12,Marzahn-Hellersdorf,0.0,2.0,0.0,1.0,0.0,1.0,17.0,1.0,8.0,0.0,1.0,3.0,5,True,9,256,2020,37,0,1,-0.9527692922168511,-0.30369503751065885
2020-09-12,Mitte,4.0,5.0,0.0,2.0,1.0,0.0,13.0,1.0,6.0,0.0,2.0,13.0,5,True,9,256,2020,37,0,1,-0.9527692922168511,-0.30369503751065885
